,Event,Event_encode
156397,"Fencing Women's Sabre, Individual",149
148824,"Fencing Women's Sabre, Team",150
88095,"Fencing Women's epee, Individual",151
154797,"Fencing Women's epee, Team",152
32295,Football Men's Football,153
13112,Football Women's Football,154
142192,Golf Men's Individual,155
157155,Golf Women's Individual,156
17348,Gymnastics Men's Floor Exercise,157
19842,Gymnastics Men's Horizontal Bar,158
76077,Gymnastics Men's Horse Vault,159
16085,Gymnastics Men's Individual All-Around,160
18595,Gymnastics Men's Parallel Bars,161
22315,Gymnastics Men's Pommelled Horse,162
21086,Gymnastics Men's Rings,163
111947,Gymnastics Men's Team All-Around,164
105763,Gymnastics Women's Balance Beam,165
102337,Gymnastics Women's Floor Exercise,166
103542,Gymnastics Women's Horse Vault,167
100129,Gymnastics Women's Individual All-Around,168
101345,Gymnastics Women's Team All-Around,169
104556,Gymnastics Women's Uneven Bars,170
29908,Handball Men's Handball,171
3362,Handball Women's Handball,172
55701,Hockey Men's Hockey,173
7906,Hockey Women's Hockey,174
2139,Judo Men's Extra-Lightweight,175
129780,Judo Men's Half-Heavyweight,176
127474,Judo Men's Half-Lightweight,177
25866,Judo Men's Half-Middleweight,178
95659,Judo Men's Heavyweight,179
36257,Judo Men's Lightweight,180
127071,Judo Men's Middleweight,181
123970,Judo Men's Open Class,182
152539,Judo Women's Extra-Lightweight,183
111332,Judo Women's Half-Heavyweight,184
135944,Judo Women's Half-Lightweight,185
107730,Judo Women's Half-Middleweight,186
148487,Judo Women's Heavyweight,187
153246,Judo Women's Lightweight,188
153091,Judo Women's Middleweight,189
82815,Modern Pentathlon Men's Individual,190
83428,Modern Pentathlon Men's Team,191
135552,Modern Pentathlon Women's Individual,192
99744,Rhythmic Gymnastics Women's Group,193
116835,Rhythmic Gymnastics Women's Individual,194
38556,Rowing Men's Coxed Eights,195
97716,Rowing Men's Coxed Fours,196
47089,Rowing Men's Coxed Pairs,197
73339,Rowing Men's Coxless Fours,198
24668,Rowing Men's Coxless Pairs,199
46678,Rowing Men's Double Sculls,200
141748,Rowing Men's Lightweight Coxless Fours,201
9365,Rowing Men's Lightweight Double Sculls,202
46128,Rowing Men's Quadruple Sculls,203
146961,Rowing Men's Single Sculls,204
112988,Rowing Women's Coxed Eights,205
154477,Rowing Women's Coxed Fours,206
116717,Rowing Women's Coxed Quadruple Sculls,207
157943,Rowing Women's Coxless Fours,208
32067,Rowing Women's Coxless Pairs,209
131070,Rowing Women's Double Sculls,210
116001,Rowing Women's Lightweight Double Sculls,211
124061,Rowing Women's Quadruple Sculls,212
58443,Rowing Women's Single Sculls,213
135334,Rugby Sevens Men's Rugby Sevens,214
111655,Rugby Sevens Women's Rugby Sevens,215
126748,Sailing Men's One Person Dinghy,216
147626,Sailing Men's One Person Heavyweight Dinghy,217
155194,Sailing Men's Skiff,218
9605,Sailing Men's Two Person Dinghy,219
156711,Sailing Men's Two Person Keelboat,220
135028,Sailing Men's Windsurfer,221
142472,Sailing Mixed 5.5 metres,222
150623,Sailing Mixed Multihull,223
132083,Sailing Mixed One Person Dinghy,224
154955,Sailing Mixed Skiff,225
7201,Sailing Mixed Three Person Keelboat,226
152774,Sailing Mixed Two Person Dinghy,227
37876,Sailing Mixed Two Person Heavyweight Dinghy,228
132789,Sailing Mixed Two Person Keelboat,229
150067,Sailing Mixed Windsurfer,230
141065,Sailing Women's One Person Dinghy,231
140759,Sailing Women's Skiff,232
61515,Sailing Women's Three Person Keelboat,233
136998,Sailing Women's Two Person Dinghy,234
2773,Sailing Women's Windsurfer,235
72179,"Shooting Men's Air Pistol, 10 metres",236
69418,"Shooting Men's Air Rifle, 10 metres",237
149550,Shooting Men's Double Trap,238
71737,"Shooting Men's Free Pistol, 50 metres",239
155065,"Shooting Men's Free Rifle, Three Positions, 300 metres",240
85701,"Shooting Men's Rapid-Fire Pistol, 25 metres",241
152914,"Shooting Men's Running Target, 10 metres",242
111286,"Shooting Men's Running Target, 50 metres",243
84438,Shooting Men's Skeet,244
123415,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",245
85245,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",246
144686,Shooting Men's Trap,247
139997,"Shooting Mixed Free Pistol, 50 metres",248
150187,"Shooting Mixed Free Rifle, Three Positions, 300 metres",249
150250,"Shooting Mixed Rapid-Fire Pistol, 25 metres",250
156177,"Shooting Mixed Running Target, 50 metres",251
37180,Shooting Mixed Skeet,252
136330,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",253
136103,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",254
40551,Shooting Mixed Trap,255
109693,"Shooting Women's Air Pistol, 10 metres",256
74602,"Shooting Women's Air Rifle, 10 metres",257
157890,Shooting Women's Double Trap,258
155274,Shooting Women's Skeet,259
144973,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",260
110041,"Shooting Women's Sporting Pistol, 25 metres",261
146108,Shooting Women's Trap,262
62181,Softball Women's Softball,263
124521,"Swimming Men's 1,500 metres Freestyle",264
157283,Swimming Men's 10 kilometres Open Water,265
90931,Swimming Men's 100 metres Backstroke,266
139359,Swimming Men's 100 metres Breaststroke,267
10768,Swimming Men's 100 metres Butterfly,268
54544,Swimming Men's 100 metres Freestyle,269
91506,Swimming Men's 200 metres Backstroke,270
119995,Swimming Men's 200 metres Breaststroke,271
11435,Swimming Men's 200 metres Butterfly,272
88319,Swimming Men's 200 metres Freestyle,273
92007,Swimming Men's 200 metres Individual Medley,274
88990,Swimming Men's 4 x 100 metres Freestyle Relay,275
11950,Swimming Men's 4 x 100 metres Medley Relay,276
89927,Swimming Men's 4 x 200 metres Freestyle Relay,277
86977,Swimming Men's 400 metres Freestyle,278
92503,Swimming Men's 400 metres Individual Medley,279
58655,Swimming Men's 50 metres Freestyle,280
155095,Swimming Women's 10 kilometres Open Water,281
80580,Swimming Women's 100 metres Backstroke,282
143684,Swimming Women's 100 metres Breaststroke,283
145312,Swimming Women's 100 metres Butterfly,284
148884,Swimming Women's 100 metres Freestyle,285
81116,Swimming Women's 200 metres Backstroke,286
144211,Swimming Women's 200 metres Breaststroke,287
128380,Swimming Women's 200 metres Butterfly,288
133667,Swimming Women's 200 metres Freestyle,289
134619,Swimming Women's 200 metres Individual Medley,290
118440,Swimming Women's 4 x 100 metres Freestyle Relay,291
81538,Swimming Women's 4 x 100 metres Medley Relay,292
146499,Swimming Women's 4 x 200 metres Freestyle Relay,293
134164,Swimming Women's 400 metres Freestyle,294
128758,Swimming Women's 400 metres Individual Medley,295
84691,Swimming Women's 50 metres Freestyle,296
136651,Swimming Women's 800 metres Freestyle,297
65469,Synchronized Swimming Women's Duet,298
138192,Synchronized Swimming Women's Solo,299
65811,Synchronized Swimming Women's Team,300
133216,Table Tennis Men's Doubles,301
122879,Table Tennis Men's Singles,302
111803,Table Tennis Men's Team,303
155816,Table Tennis Women's Doubles,304
153959,Table Tennis Women's Singles,305
157426,Table Tennis Women's Team,306
95504,Taekwondo Men's Featherweight,307
23963,Taekwondo Men's Flyweight,308
